year,title,bechdel_pass,rated,language,country,writer,imdb_rating,director,actors,genre,type,imdb_votes,runtime_mins,award_bn,primary_country,primary_language,primary_genre,primary_director,primary_writer
1941,The Shanghai Gesture,1,Approved,"English, French, Chinese",USA,"Josef von Sternberg (adaptation), Geza Herczeg (collaborator for adaptation), Jules Furthman (collaborator for adaptation), John Colton (play)",6.8,Josef von Sternberg,"Gene Tierney, Walter Huston, Victor Mature, Ona Munson","Crime, Drama, Film-Noir",movie,NA,95,0,USA,English,Crime,Josef von Sternberg,Josef von Sternberg (adaptation)
1941,The Maltese Falcon,0,Not Rated,English,USA,"John Huston (screenplay), Dashiell Hammett (based upon the novel by)",8.2,John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre","Crime, Drama, Film-Noir",movie,NA,100,1,USA,English,Crime,John Huston,John Huston (screenplay)
1941,Citizen Kane,0,Approved,English,USA,"Herman J. Mankiewicz (original screen play), Orson Welles (original screen play)",8.5,Orson Welles,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick","Drama, Mystery",movie,NA,119,1,USA,English,Drama,Orson Welles,Herman J. Mankiewicz (original screen play)
1941,Dumbo,0,Approved,English,USA,"Joe Grant (screen story), Dick Huemer (screen story), Otto Englander (story), Bill Peet (story), Aurelius Battaglia (story), Joe Rinaldi (story), Vernon Stallings (story), Webb Smith (story)",7.3,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte","James Baskett, Herman Bing, Billy Bletcher, Edward Brophy","Animation, Family, Musical",movie,NA,64,1,USA,English,Animation,Samuel Armstrong,Joe Grant (screen story)
1941,The Little Foxes,0,NA,English,USA,"Lillian Hellman (stage play by), Lillian Hellman (screen play), Arthur Kober (additional scenes and dialogue), Dorothy Parker (additional scenes and dialogue), Alan Campbell (additional scenes and dialogue)",8.2,William Wyler,"Bette Davis, Herbert Marshall, Teresa Wright, Richard Carlson","Drama, Romance",movie,NA,116,1,USA,English,Drama,William Wyler,Lillian Hellman (stage play by)
1941,The Lady Eve,0,Not Rated,English,USA,"Monckton Hoffe (screen play: based on a story by), Preston Sturges",8,Preston Sturges,"Barbara Stanwyck, Henry Fonda, Charles Coburn, Eugene Pallette","Comedy, Romance",movie,NA,94,1,USA,English,Comedy,Preston Sturges,Monckton Hoffe (screen play: based on a story by)
1941,The Devil and Miss Jones,1,Approved,English,USA,Norman Krasna,7.8,Sam Wood,"Jean Arthur, Robert Cummings, Charles Coburn, Edmund Gwenn","Comedy, Romance",movie,NA,92,0,USA,English,Comedy,Sam Wood,Norman Krasna
1941,Mr. Bug Goes to Town,0,NA,English,USA,"Dave Fleischer (original story), Dan Gordon (original story), Tedd Pierce (original story), Izzy Sparber (original story), Dan Gordon (screen adaptation), Carl Meyer (screen adaptation), Tedd Pierce (screen adaptation), Graham Place (screen adaptation), Izzy Sparber (screen adaptation), Bob Wickersham (screen adaptation), Bill Turner (screen adaptation), Cal Howard (screen adaptation)",7.1,"Dave Fleischer, Shamus Culhane","Kenny Gardner, Gwen Williams, Jack Mercer, Tedd Pierce","Animation, Comedy, Family",movie,635,78,0,USA,English,Animation,Dave Fleischer,Dave Fleischer (original story)
1941,High Sierra,0,Approved,English,USA,"John Huston (screenplay), W.R. Burnett (screenplay), W.R. Burnett (novel)",7.6,Raoul Walsh,"Ida Lupino, Humphrey Bogart, Alan Curtis, Arthur Kennedy","Crime, Drama, Film-Noir",movie,NA,100,1,USA,English,Crime,Raoul Walsh,John Huston (screenplay)
1941,The Wolf Man,0,Approved,English,USA,Curt Siodmak (original screenplay),7.4,George Waggner,"Claude Rains, Warren William, Ralph Bellamy, Patric Knowles","Drama, Horror",movie,NA,70,1,USA,English,Drama,George Waggner,Curt Siodmak (original screenplay)
1941,Cheers for Miss Bishop,1,NA,English,USA,"Bess Streeter Aldrich (novel), Stephen Vincent Benet (screen adaptation), Adelaide Heilbron (screenplay), Sheridan Gibney (screenplay)",6.7,Tay Garnett,"Martha Scott, William Gargan, Edmund Gwenn, Sterling Holloway",Drama,movie,360,95,0,USA,English,Drama,Tay Garnett,Bess Streeter Aldrich (novel)
1941,Men of Boys Town,0,NA,English,USA,James Kevin McGuinness (screenplay),6.4,Norman Taurog,"Spencer Tracy, Mickey Rooney, Bobs Watson, Larry Nunn",Drama,movie,559,106,0,USA,English,Drama,Norman Taurog,James Kevin McGuinness (screenplay)
1941,49th Parallel,0,Not Rated,"English, French, German",UK,"Emeric Pressburger (original story and screenplay), Rodney Ackland (scenario), Emeric Pressburger (scenario)",7.5,Michael Powell,"Richard George, Eric Portman, Raymond Lovell, Niall MacGinnis","Drama, War, Thriller",movie,NA,104,1,UK,English,Drama,Michael Powell,Emeric Pressburger (original story and screenplay)
1941,Buck Privates,1,Approved,English,USA,"Arthur T. Horman (original screenplay), John Grant (special material for Abbott and Costello)",7.4,Arthur Lubin,"Bud Abbott, Lou Costello, Lee Bowman, Jane Frazee","Comedy, Musical",movie,NA,84,0,USA,English,Comedy,Arthur Lubin,Arthur T. Horman (original screenplay)
1941,Hold That Ghost,1,NA,English,USA,"Robert Lees (screenplay), Frederic I. Rinaldo (screenplay), John Grant (screenplay), Robert Lees (original story), Frederic I. Rinaldo (original story)",7.7,Arthur Lubin,"Bud Abbott, Lou Costello, Richard Carlson, Joan Davis","Adventure, Comedy, Music",movie,NA,86,0,USA,English,Adventure,Arthur Lubin,Robert Lees (screenplay)
1941,Meet John Doe,1,NA,English,USA,"Richard Connell (based on a story by), Robert Presnell Sr. (based on a story by), Robert Riskin (screen play)",7.7,Frank Capra,"Gary Cooper, Barbara Stanwyck, Edward Arnold, Walter Brennan","Comedy, Drama, Romance",movie,NA,122,0,USA,English,Comedy,Frank Capra,Richard Connell (based on a story by)
1941,Sullivan’s Travels,1,Not Rated,English,USA,Preston Sturges,8.2,Preston Sturges,"Joel McCrea, Veronica Lake, Robert Warwick, William Demarest","Adventure, Comedy, Drama",movie,NA,90,1,USA,English,Adventure,Preston Sturges,Preston Sturges
1942,The Major and the Minor,1,NA,English,USA,"Charles Brackett, Billy Wilder, Edward Childs Carpenter (suggested by a play by), Fanny Kilbourne (from a story by)",7.6,Billy Wilder,"Ginger Rogers, Ray Milland, Rita Johnson, Robert Benchley","Comedy, Romance",movie,NA,100,1,USA,English,Comedy,Billy Wilder,Charles Brackett
1942,"Now, Voyager",1,Not Rated,"English, Portuguese",USA,"Casey Robinson (screenplay), Olive Higgins Prouty (from the novel by)",8,Irving Rapper,"Bette Davis, Paul Henreid, Claude Rains, Gladys Cooper","Drama, Romance",movie,NA,117,1,USA,English,Drama,Irving Rapper,Casey Robinson (screenplay)
1942,Casablanca,0,PG,"English, French, German, Italian",USA,"Julius J. Epstein (screenplay), Philip G. Epstein (screenplay), Howard Koch (screenplay), Murray Burnett (play), Joan Alison (play)",8.6,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains","Drama, Romance, War",movie,NA,102,1,USA,English,Drama,Michael Curtiz,Julius J. Epstein (screenplay)
1942,The Magnificent Ambersons,0,Approved,English,USA,"Booth Tarkington (from the novel by), Orson Welles (script writer)",8,"Orson Welles, Fred Fleck, Robert Wise","Joseph Cotten, Dolores Costello, Anne Baxter, Tim Holt","Drama, Romance",movie,NA,88,1,USA,English,Drama,Orson Welles,Booth Tarkington (from the novel by)
1942,Bambi,0,Approved,English,USA,"Felix Salten (from the story by), Perce Pearce (story), Larry Morey (story), Vernon Stallings (story), Mel Shaw (story), Carl Fallberg (story), Chuck Couch (story), Ralph Wright (story)",7.4,"James Algar, Samuel Armstrong, David Hand, Graham Heid, Bill Roberts, Paul Satterfield, Norman Wright","Hardie Albright, Stan Alexander, Bobette Audrey, Peter Behn","Animation, Drama, Family",movie,NA,70,1,USA,English,Animation,James Algar,Felix Salten (from the story by)
1942,Son of Fury: The Story of Benjamin Blake,0,Approved,English,USA,"Philip Dunne (screenplay), Edison Marshall (novel)",7.2,John Cromwell,"Tyrone Power, Gene Tierney, George Sanders, Frances Farmer","Adventure, Drama, Romance",movie,829,98,0,USA,English,Adventure,John Cromwell,Philip Dunne (screenplay)
1942,For Me and My Gal,1,NA,"English, French",USA,"Howard Emmett Rogers (story), Richard Sherman (screenplay), Fred F. Finklehoffe (screenplay), Sid Silvers (screenplay)",7.2,Busby Berkeley,"Judy Garland, George Murphy, Gene Kelly, Mártha Eggerth","Musical, Romance, War",movie,NA,104,0,USA,English,Musical,Busby Berkeley,Howard Emmett Rogers (story)
1942,I Married an Angel,1,NA,English,USA,"Johann von Vásáry (play), Richard Rodgers (musical adaptation for play), Lorenz Hart (musical adaptation for play), Anita Loos (screenplay)",6.2,"W.S. Van Dyke, Roy Del Ruth","Jeanette MacDonald, Nelson Eddy, Edward Everett Horton, Binnie Barnes","Fantasy, Musical, Romance",movie,290,84,0,USA,English,Fantasy,W.S. Van Dyke,Johann von Vásáry (play)
1942,Cat People,1,Approved,"English, Czech, Serbian",USA,DeWitt Bodeen,7.5,Jacques Tourneur,"Simone Simon, Kent Smith, Tom Conway, Jane Randolph","Horror, Mystery, Thriller",movie,NA,73,1,USA,English,Horror,Jacques Tourneur,DeWitt Bodeen
1942,Black Dragons,0,Approved,English,USA,"Harvey Gates (original story), Harvey Gates (screenplay)",4.3,William Nigh,"Bela Lugosi, Joan Barclay, George Pembroke, Clayton Moore","Thriller, War",movie,689,64,0,USA,English,Thriller,William Nigh,Harvey Gates (original story)
1942,There Was a Father,0,Not Rated,Japanese,Japan,"Tadao Ikeda, Yasujirô Ozu, Takao Yanai",7.7,Yasujirô Ozu,"Chishû Ryû, Shûji Sano, Shin Saburi, Takeshi Sakamoto",Drama,movie,NA,94,0,Japan,Japanese,Drama,Yasujirô Ozu,Tadao Ikeda
1942,Tales of Manhattan,0,Unrated,English,USA,"Henry Blankfort, Alan Campbell, Ladislas Fodor, László Görög, Ben Hecht, Samuel Hoffenstein, Ferenc Molnár, Donald Ogden Stewart, Lamar Trotti, László Vadnay",7.5,Julien Duvivier,"Charles Boyer, Rita Hayworth, Ginger Rogers, Henry Fonda","Comedy, Drama, Romance",movie,995,118,0,USA,English,Comedy,Julien Duvivier,Henry Blankfort
1942,The Man Who Came to Dinner,1,Approved,English,USA,"Julius J. Epstein (screen play), Philip G. Epstein (screen play), George S. Kaufman (from the stage play by), Moss Hart (from the stage play by)",7.8,William Keighley,"Bette Davis, Ann Sheridan, Monty Woolley, Richard Travis","Comedy, Romance",movie,NA,112,1,USA,English,Comedy,William Keighley,Julius J. Epstein (screen play)
1942,Woman of the Year,1,NA,"English, French, Russian, German, Spanish, Greek",USA,"Ring Lardner Jr. (original screen play), Michael Kanin (original screen play)",7.4,George Stevens,"Spencer Tracy, Katharine Hepburn, Fay Bainter, Reginald Owen","Comedy, Romance, Sport",movie,NA,114,1,USA,English,Comedy,George Stevens,Ring Lardner Jr. (original screen play)
1942,To Be or Not to Be,0,NA,"English, German",USA,"Melchior Lengyel (original story), Edwin Justus Mayer (screenplay)",8.3,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart","Comedy, War",movie,NA,99,1,USA,English,Comedy,Ernst Lubitsch,Melchior Lengyel (original story)
1943,Old Acquaintance,1,Approved,English,USA,"John Van Druten (screenplay), Lenore J. Coffee (screenplay), John Van Druten (play)",7.6,Vincent Sherman,"Bette Davis, Miriam Hopkins, Gig Young, John Loder",Drama,movie,NA,110,0,USA,English,Drama,Vincent Sherman,John Van Druten (screenplay)
1943,Watch on the Rhine,1,Approved,"English, German",USA,"Dashiell Hammett (screen play), Lillian Hellman (additional scenes and dialogue), Lillian Hellman (from the stage play by)",7.5,"Herman Shumlin, Hal Mohr","Bette Davis, Paul Lukas, Geraldine Fitzgerald, Lucile Watson",Drama,movie,NA,114,1,USA,English,Drama,Herman Shumlin,Dashiell Hammett (screen play)
1943,Girl Crazy,0,NA,English,USA,"Fred F. Finklehoffe (screenplay), Guy Bolton (musical play), Jack McGowan (musical play)",7.1,"Norman Taurog, Busby Berkeley","Mickey Rooney, Judy Garland, Gil Stratton, Robert E. Strickland","Comedy, Musical, Romance",movie,827,99,0,USA,English,Comedy,Norman Taurog,Fred F. Finklehoffe (screenplay)
1943,I Walked with a Zombie,1,Approved,English,USA,"Curt Siodmak (screenplay), Ardel Wray (screenplay), Inez Wallace (original story)",7.3,Jacques Tourneur,"James Ellison, Frances Dee, Tom Conway, Edith Barrett",Horror,movie,NA,69,0,USA,English,Horror,Jacques Tourneur,Curt Siodmak (screenplay)
1943,The Sky&#39;s the Limit,0,Approved,English,USA,"Frank Fenton (original screenplay), Lynn Root (original screenplay)",6.5,Edward H. Griffith,"Fred Astaire, Joan Leslie, Robert Benchley, Robert Ryan","Comedy, Musical, Romance",movie,496,89,0,USA,English,Comedy,Edward H. Griffith,Frank Fenton (original screenplay)
1943,Sahara,0,Approved,"English, German, Italian",USA,"John Howard Lawson (screenplay), Zoltan Korda (screenplay), James O'Hanlon (adaptation), Philip MacDonald (story)",7.7,Zoltan Korda,"Humphrey Bogart, Bruce Bennett, J. Carrol Naish, Lloyd Bridges","Action, Drama, War",movie,NA,97,0,USA,English,Action,Zoltan Korda,John Howard Lawson (screenplay)
1943,Guadalcanal Diary,0,Approved,English,USA,"Richard Tregaskis (by), Lamar Trotti (screenplay), Jerome Cady (adaptation), Richard Tregaskis (from the book by)",6.9,Lewis Seiler,"Preston Foster, Lloyd Nolan, William Bendix, Richard Conte","Drama, War",movie,NA,93,0,USA,English,Drama,Lewis Seiler,Richard Tregaskis (by)
1943,Tender Comrade,1,Approved,"English, German",USA,Dalton Trumbo,6.2,Edward Dmytryk,"Ginger Rogers, Robert Ryan, Ruth Hussey, Patricia Collinge","Drama, Romance",movie,428,102,0,USA,English,Drama,Edward Dmytryk,Dalton Trumbo
1943,Day of Wrath,1,Not Rated,Danish,Denmark,NA,7.7,Carl Theodor Dreyer,"Kirsten Andreasen, Sigurd Berg, Harald Holst, Albert Høeberg",Drama,movie,NA,110,1,Denmark,Danish,Drama,Carl Theodor Dreyer,NA
1943,The Life and Death of Colonel Blimp,0,Not Rated,"English, French, German",UK,"Michael Powell, Emeric Pressburger",8.1,"Michael Powell, Emeric Pressburger","Roger Livesey, Deborah Kerr, Anton Walbrook, Roland Culver","Drama, Romance, War",movie,NA,163,1,UK,English,Drama,Michael Powell,Michael Powell
1943,Le Corbeau: The Raven,1,Not Rated,French,France,"Louis Chavance (scenario), Henri-Georges Clouzot (adaptation), Louis Chavance (adaptation)",7.6,Henri-Georges Clouzot,"Pierre Fresnay, Ginette Leclerc, Micheline Francey, Héléna Manson","Crime, Drama, Mystery",movie,NA,92,0,France,French,Crime,Henri-Georges Clouzot,Louis Chavance (scenario)
1943,Shadow of a Doubt,1,Approved,English,USA,"Thornton Wilder (screenplay), Sally Benson (screenplay), Alma Reville (screenplay), Gordon McDonell (from an original story by)",8,Alfred Hitchcock,"Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers",Thriller,movie,NA,108,1,USA,English,Thriller,Alfred Hitchcock,Thornton Wilder (screenplay)
1943,Judo Saga (Sanshiro Sugata),0,NA,Japanese,Japan,"Akira Kurosawa, Tsuneo Tomita (novel)",6.9,Akira Kurosawa,"Denjirô Ôkôchi, Susumu Fujita, Yukiko Todoroki, Ryûnosuke Tsukigata","Action, Adventure, Drama",movie,NA,79,0,Japan,Japanese,Action,Akira Kurosawa,Akira Kurosawa
1943,Cry ’Havoc&#39;,1,NA,English,USA,"Paul Osborn (screenplay), Allan Kenward (play)",7,Richard Thorpe,"Margaret Sullavan, Ann Sothern, Joan Blondell, Fay Bainter","War, Drama",movie,457,97,0,USA,English,War,Richard Thorpe,Paul Osborn (screenplay)
1944,Arsenic and Old Lace,1,Not Rated,"English, German",USA,"Julius J. Epstein (screen play), Philip G. Epstein (screen play), Joseph Kesselring (play)",8.1,Frank Capra,"Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson","Comedy, Crime",movie,NA,118,0,USA,English,Comedy,Frank Capra,Julius J. Epstein (screen play)
1944,Double Indemnity,1,NA,English,USA,"Billy Wilder (screenplay), Raymond Chandler (screenplay), James M. Cain (from the novel by)",8.5,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall","Crime, Drama, Film-Noir",movie,NA,107,1,USA,English,Crime,Billy Wilder,Billy Wilder (screenplay)
1944,Mr. Skeffington,0,TV-G,English,USA,"Julius J. Epstein (screen play), Philip G. Epstein (screen play), Elizabeth von Arnim (from the story by)",7.8,Vincent Sherman,"Bette Davis, Claude Rains, Walter Abel, George Coulouris","Drama, Romance",movie,NA,146,0,USA,English,Drama,Vincent Sherman,Julius J. Epstein (screen play)
1944,Meet Me in St. Louis,1,Approved,English,USA,"Irving Brecher (screen play), Fred F. Finklehoffe (screen play), Sally Benson (based on the book by)",7.7,Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer","Family, Musical, Romance",movie,NA,113,1,USA,English,Family,Vincente Minnelli,Irving Brecher (screen play)
1944,Hail the Conquering Hero,0,NA,English,USA,Preston Sturges,7.8,Preston Sturges,"Eddie Bracken, Ella Raines, Raymond Walburn, William Demarest","Comedy, War",movie,NA,101,1,USA,English,Comedy,Preston Sturges,Preston Sturges
1944,Torment,0,NA,Swedish,Sweden,Ingmar Bergman,7.5,Alf Sjöberg,"Stig Järrel, Alf Kjellin, Mai Zetterling, Olof Winnerstrand",Drama,movie,NA,101,0,Sweden,Swedish,Drama,Alf Sjöberg,Ingmar Bergman
1944,Window in the Window,0,NA,English,USA,"Nunnally Johnson (written for the screen by), J.H. Wallis (novel)",7.8,Fritz Lang,"Edward G. Robinson, Joan Bennett, Raymond Massey, Edmund Breon","Crime, Drama, Film-Noir",movie,NA,107,0,USA,English,Crime,Fritz Lang,Nunnally Johnson (written for the screen by)
1944,Laura,1,Not Rated,English,USA,"Vera Caspary (novel), Jay Dratler (screenplay), Samuel Hoffenstein (screenplay), Elizabeth Reinhardt (screenplay)",8.2,Otto Preminger,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price","Drama, Film-Noir, Mystery",movie,NA,88,1,USA,English,Drama,Otto Preminger,Vera Caspary (novel)
1944,Cover Girl,1,Approved,English,USA,"Virginia Van Upp (screenplay), Marion Parsonnet (adaptation), Paul Gangelin (adaptation), Erwin S. Gelsey (story)",7,Charles Vidor,"Rita Hayworth, Gene Kelly, Lee Bowman, Phil Silvers","Comedy, Musical, Romance",movie,NA,107,1,USA,English,Comedy,Charles Vidor,Virginia Van Upp (screenplay)
1944,Since You Went Away,1,Approved,"English, Yiddish",USA,"Margaret Buell Wilder (book), Margaret Buell Wilder (adaptation), David O. Selznick (screenplay)",7.7,"John Cromwell, Edward F. Cline, Tay Garnett, David O. Selznick","Claudette Colbert, Jennifer Jones, Joseph Cotten, Shirley Temple","Drama, Romance, War",movie,NA,177,1,USA,English,Drama,John Cromwell,Margaret Buell Wilder (book)
1944,To Have and Have Not,1,Not Rated,"English, French",USA,"Ernest Hemingway (novel), Jules Furthman (screen play), William Faulkner (screen play)",8,Howard Hawks,"Humphrey Bogart, Walter Brennan, Lauren Bacall, Dolores Moran","Adventure, Romance, Thriller",movie,NA,100,0,USA,English,Adventure,Howard Hawks,Ernest Hemingway (novel)
1944,I’ll Be Seeing You,1,NA,English,USA,"Charles Martin (play), Marion Parsonnet",7.2,"William Dieterle, George Cukor","Ginger Rogers, Joseph Cotten, Shirley Temple, Spring Byington","Drama, Family, Romance",movie,994,85,0,USA,English,Drama,William Dieterle,Charles Martin (play)
1944,National Velvet,1,G,English,USA,"Enid Bagnold (novel), Theodore Reeves (screen play), Helen Deutsch (screen play)",7.4,Clarence Brown,"Mickey Rooney, Donald Crisp, Elizabeth Taylor, Anne Revere","Drama, Family, Sport",movie,NA,123,1,USA,English,Drama,Clarence Brown,Enid Bagnold (novel)
1944,The Most Beautiful (Ichiban utsukushiku),1,NA,Japanese,Japan,Akira Kurosawa,5.9,Akira Kurosawa,"Takashi Shimura, Sôji Kiyokawa, Ichirô Sugai, Takako Irie",Drama,movie,815,85,0,Japan,Japanese,Drama,Akira Kurosawa,Akira Kurosawa
1945,Mildred Pierce,1,TV-PG,English,USA,"Ranald MacDougall (screenplay), James M. Cain (novel)",8,Michael Curtiz,"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden","Crime, Drama, Film-Noir",movie,NA,111,1,USA,English,Crime,Michael Curtiz,Ranald MacDougall (screenplay)
1945,I Know Where I’m Going,1,Not Rated,"English, Scottish Gaelic",UK,"Michael Powell, Emeric Pressburger",7.8,"Michael Powell, Emeric Pressburger","Wendy Hiller, Roger Livesey, Pamela Brown, Finlay Currie","Drama, Romance",movie,NA,91,0,UK,English,Drama,Michael Powell,Michael Powell
1945,The Seventh Veil,1,Approved,English,UK,"Muriel Box (original story and screenplay), Sydney Box (original story and screenplay)",7.1,Compton Bennett,"James Mason, Ann Todd, Herbert Lom, Hugh McDermott","Drama, Music",movie,836,94,0,UK,English,Drama,Compton Bennett,Muriel Box (original story and screenplay)
1945,Brief Encounter,1,Not Rated,English,UK,NA,8.1,David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey","Romance, Drama",movie,NA,86,1,UK,English,Romance,David Lean,NA
1945,Along Came Jones,0,Approved,English,USA,"Nunnally Johnson, Alan Le May (novel)",6.5,Stuart Heisler,"Gary Cooper, Loretta Young, William Demarest, Dan Duryea","Comedy, Romance, Western",movie,NA,90,0,USA,English,Comedy,Stuart Heisler,Nunnally Johnson
1945,Isle of the Dead,1,Approved,English,USA,Ardel Wray,6.7,Mark Robson,"Boris Karloff, Ellen Drew, Marc Cramer, Katherine Emery","Drama, Horror, Mystery",movie,NA,71,0,USA,English,Drama,Mark Robson,Ardel Wray
1945,The Enchanted Cottage,1,Approved,English,USA,"DeWitt Bodeen, Herman J. Mankiewicz, Arthur Wing Pinero (play)",7.7,John Cromwell,"Dorothy McGuire, Robert Young, Herbert Marshall, Mildred Natwick","Drama, Romance",movie,NA,91,0,USA,English,Drama,John Cromwell,DeWitt Bodeen
1945,"Objective, Burma!",0,Approved,"English, Japanese",USA,"Ranald MacDougall (screenplay), Lester Cole (screenplay), Alvah Bessie (original story)",7.4,Raoul Walsh,"Errol Flynn, James Brown, William Prince, George Tobias","Action, Adventure, Drama",movie,NA,142,0,USA,English,Action,Raoul Walsh,Ranald MacDougall (screenplay)
1945,The Lost Weekend,0,Not Rated,English,USA,"Charles R. Jackson (from the novel by), Charles Brackett (screen play), Billy Wilder (screen play)",8.1,Billy Wilder,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva",Drama,movie,NA,101,1,USA,English,Drama,Billy Wilder,Charles R. Jackson (from the novel by)
1945,Detour,0,Approved,English,USA,"Martin Goldsmith (screenplay), Martin Goldsmith (original story)",7.5,Edgar G. Ulmer,"Tom Neal, Ann Savage, Claudia Drake, Edmund MacDonald","Crime, Drama, Film-Noir",movie,NA,67,1,USA,English,Crime,Edgar G. Ulmer,Martin Goldsmith (screenplay)
1945,Spellbound,1,Unrated,English,USA,"Ben Hecht (screen play), Frances Beeding (suggested by: ""The House of Dr. Edwardes""), Angus MacPhail (adaptation)",7.7,Alfred Hitchcock,"Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll","Film-Noir, Mystery, Romance",movie,NA,111,1,USA,English,Film-Noir,Alfred Hitchcock,Ben Hecht (screen play)
1945,"Rome, Open City",1,Approved,"Italian, German",Italy,"Sergio Amidei (screenplay), Federico Fellini (collaboration on screenplay), Roberto Rossellini (collaboration on screenplay), Sergio Amidei (story), Alberto Consiglio (additional material), Roberto Rossellini (additional material)",8.1,Roberto Rossellini,"Aldo Fabrizi, Anna Magnani, Marcello Pagliero, Vito Annichiarico","Drama, War",movie,NA,103,1,Italy,Italian,Drama,Roberto Rossellini,Sergio Amidei (screenplay)
1945,Scarlet Street,1,Approved,English,USA,"Georges de La Fouchardière (novel), André Mouézy-Éon (novel), Dudley Nichols (screenplay)",7.9,Fritz Lang,"Edward G. Robinson, Joan Bennett, Dan Duryea, Margaret Lindsay","Drama, Film-Noir",movie,NA,103,0,USA,English,Drama,Fritz Lang,Georges de La Fouchardière (novel)
1945,Children of Paradise,0,Approved,French,France,Jacques Prévert (scenario and dialogue),8.3,Marcel Carné,"Arletty, Jean-Louis Barrault, Pierre Brasseur, Pierre Renoir","Drama, Romance",movie,NA,190,1,France,French,Drama,Marcel Carné,Jacques Prévert (scenario and dialogue)
1946,Notorious,0,Approved,"English, French, Portuguese",USA,Ben Hecht,8.2,Alfred Hitchcock,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern","Drama, Film-Noir, Romance",movie,NA,101,1,USA,English,Drama,Alfred Hitchcock,Ben Hecht
1946,The Harvey Girls,1,Approved,English,USA,"Edmund Beloin (screenplay), Nathaniel Curtis (screenplay), Harry Crane (screenplay), James O'Hanlon (screenplay), Samson Raphaelson (screenplay), Kay Van Riper (additional dialogue), Samuel Hopkins Adams (novel), Eleanore Griffin (original story), William Rankin (original story)",7.1,George Sidney,"Judy Garland, John Hodiak, Ray Bolger, Angela Lansbury","Comedy, Musical, Western",movie,NA,102,1,USA,English,Comedy,George Sidney,Edmund Beloin (screenplay)
1946,The Big Sleep,0,Not Rated,English,USA,"William Faulkner (screenplay), Leigh Brackett (screenplay), Jules Furthman (screenplay), Raymond Chandler (novel)",8.1,Howard Hawks,"Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers","Crime, Film-Noir, Mystery",movie,NA,114,1,USA,English,Crime,Howard Hawks,William Faulkner (screenplay)
1946,The Postman Always Rings Twice,0,NA,English,USA,"Harry Ruskin (screen play), Niven Busch (screen play), James M. Cain (based on the novel by)",7.6,Tay Garnett,"Lana Turner, John Garfield, Cecil Kellaway, Hume Cronyn","Crime, Drama, Film-Noir",movie,NA,113,0,USA,English,Crime,Tay Garnett,Harry Ruskin (screen play)
1946,Stairway to Heaven,0,Approved,"English, French, Russian",UK,"Michael Powell, Emeric Pressburger",8.1,"Michael Powell, Emeric Pressburger","David Niven, Kim Hunter, Robert Coote, Kathleen Byron","Drama, Fantasy, Romance",movie,NA,104,1,UK,English,Drama,Michael Powell,Michael Powell
1946,Beauty and the Beast,1,Not Rated,French,France,"Jean Cocteau (dialogue), Jean Cocteau (screenplay), Jean Cocteau (story), Jeanne-Marie Leprince de Beaumont (story)",8,"Jean Cocteau, René Clément","Jean Marais, Josette Day, Mila Parély, Nane Germon","Fantasy, Romance",movie,NA,93,1,France,French,Fantasy,Jean Cocteau,Jean Cocteau (dialogue)
1946,Deception,0,Approved,English,USA,"John Collier, Joseph Than, Louis Verneuil (play)",7.3,Irving Rapper,"Bette Davis, Paul Henreid, Claude Rains, John Abbott","Crime, Drama, Film-Noir",movie,NA,115,0,USA,English,Crime,Irving Rapper,John Collier
1946,Devotion,1,Approved,English,USA,"Theodore Reeves (story), Keith Winter",6.7,Curtis Bernhardt,"Ida Lupino, Paul Henreid, Olivia de Havilland, Sydney Greenstreet","Biography, Drama",movie,431,107,0,USA,English,Biography,Curtis Bernhardt,Theodore Reeves (story)
1946,Two Sisters from Boston,1,NA,English,USA,"Myles Connolly (original screen play), James O'Hanlon (additional dialogue), Harry Crane (additional dialogue)",6.7,Henry Koster,"Kathryn Grayson, June Allyson, Lauritz Melchior, Jimmy Durante","Comedy, Musical",movie,284,112,0,USA,English,Comedy,Henry Koster,Myles Connolly (original screen play)
